"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","condition","descriptor","test_part","trial","rating","unpleasant_rating","arousal_rating"
"523.6400000285357","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","14","7637","0.0-2.0-3.0","positive","puppies","unpleasant","1","","2",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","15","9640","0.0-2.0-4.0","","","","","","",""
"453.90000008046627","<h2 style=""color:white; text-align:center;"">How calm---excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","16","10097","0.0-2.0-5.0","positive","puppies","unpleasant","1","","","2"
"null","<h2 style=""color:white; text-align:center;"">How calm---excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","17","12099","0.0-2.0-6.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","18","13105","0.0-2.0-0.1","","","","","","",""
"463.51999999023974","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","19","13570","0.0-2.0-1.1","neutral","man","pleasant","2","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","20","15575","0.0-2.0-2.1","","","","","","",""
"310.910000000149","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","21","15888","0.0-2.0-3.1","neutral","man","unpleasant","2","","2",""
"1971.879999851808","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/UnpleasantScale2.jpg'>","52","html-keyboard-response","22","17894","0.0-2.0-4.1","","","","","","",""
"446.9800000078976","<h2 style=""color:white; text-align:center;"">How calm---excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","52","html-keyboard-response","23","18343","0.0-2.0-5.1","neutral","man","unpleasant","2","","","4"
"null","<h2 style=""color:white; text-align:center;"">How calm---excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/ArousalScale4.jpg'>","null","html-keyboard-response","24","20348","0.0-2.0-6.1","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","21354","0.0-2.0-0.2","","","","","","",""
"507.9300000797957","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","50","html-keyboard-response","26","21864","0.0-2.0-1.2","negative","hospital","pleasant","3","2","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/PleasantScale2.jpg'>","null","html-keyboard-response","27","23870","0.0-2.0-2.2","","","","","","",""
"734.2149999458343","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","28","24607","0.0-2.0-3.2","negative","hospital","unpleasant","3","","2",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","29","26610","0.0-2.0-4.2","","","","","","",""
"477.69999993033707","<h2 style=""color:white; text-align:center;"">How calm---excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","30","27089","0.0-2.0-5.2","negative","hospital","unpleasant","3","","","5"
"null","<h2 style=""color:white; text-align:center;"">How calm---excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","31","29096","0.0-2.0-6.2","","","","","","",""
"null","<p style='color:white;'>You have completed this task. Please wait for the experimenter to continue.</p><p style='color:white;'>Data Saving...do not close this window until the text dissapears.</p>","null","html-keyboard-response","32","39099","0.0-3.0","","","","","","",""
