"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","condition","descriptor","pleasant_rating","unpleasant_rating","arousal_rating"
"1303.3000000286847","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","0","1306","0.0-0.0","","","","","",""
"11159.429999999702","<h2 style=""color:white;"">You will now see a series of pictures. </h2><h3 style=""color:white;"">Some of the pictures will be <b>positive</b>, like pictures of babies.   </h3><h3 style=""color:white;"">Some will be <b>negative</b>, like pictures of sharks or sad people. </h3><h3 style=""color:white;""> Some will be <b>neutral</b>, like pictures of a clock or desk.</h3><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","1","12467","0.0-1.0-0.0","","","","","",""
"6497.489999979734","<h2 style=""color:white;"">We want you to tell us how each picture makes you <b>feel</b>.</h2> <h3 style=""color:white;"">You will make <b>3 ratings</b> for each picture.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","2","18966","0.0-1.0-1.0","","","","","",""
"10787.86499996204","<h2 style=""color:white;"">The first rating you will be asked to make is a rating of how <b>pleasant</b> you feel when you see the photo.</h2> <h3 style=""color:white;""><b>""Pleasantness""</b>  refers to how <b>happy</b> or <b>good</b> you feel when you see each photo and how much you like looking at it.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","3","29755","0.0-1.0-2.0","","","","","",""
"12166.310000000522","<h2 style=""color:white;""><b>Pleasantness</b></h2> <h3 style=""color:white;"">This is the <b>pleasantness scale</b> that you will use to rate how <b>positive</b> you feel when you see each picture.</h3><img class='center' style='width:453px; height:215px;' src='scale/BlankScalePleasant.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","4","41922","0.0-1.0-3.0","","","","","",""
"10228.379999985918","<h2 style=""color:white;"">The second rating you will be asked to make is a rating of how <b>unpleasant</b> you feel when you see the photo.</h2> <h3 style=""color:white;""><b>""Unpleasantness""</b> refers to how <b>bad</b> or <b>unhappy</b> you feel when you see each photo.</h3><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","5","52151","0.0-1.0-4.0","","","","","",""
"10540.455000009388","<h2 style=""color:white;""><b>Unpleasantness</b></h2> <h3 style=""color:white;"">This is the <b>unpleasantness scale</b> that you will use to rate how <b>negative</b> you feel when you see each picture.</h3><img class='center' style='width:451px; height:211px;' src='scale/BlankScaleUnpleasant.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","6","62693","0.0-1.0-5.0","","","","","",""
"11109.5750000095","<h2 style=""color:white;"">You should decide how to rate each photo on the basis of how <b>pleasant</b> or <b>unpleasant</b> you feel when you see it.</h2> <h3 style=""color:white;"">There are no ""right"" or ""wrong"" answers for rating the photos.</h3> <h3 style=""color:white;"">Just go by how much you like or dislike each one.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","7","73803","0.0-1.0-6.0","","","","","",""
"15103.020000038669","<h2 style=""color:white;"">The third rating you will be asked to make is a rating of how <b>arousing</b> or <b>exciting</b> each picture makes you feel.</h2> <h3 style=""color:white;""><b>""Arousing""</b> refers to how <b>excited</b> or <b>keyed-up</b> the photo makes you feel.<h3><h3 style=""color:white;"">Some of the pictures will be <b>highly arousing</b> and some will make you feel more <b>calm</b> or <b>sleepy</b>.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","8","88908","0.0-1.0-7.0","","","","","",""
"12907.95500006061","<h2 style=""color:white;""><b>Arousal</b></h2> <p style=""color:white;"">This is the <b>arousal scale</b> that you will use to rate how <b>calm to excited</b> you feel when you see each picture.</p><img class='center' style='width:538px; height:222px;' src='scale/BlankScaleArousal.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","9","101817","0.0-1.0-8.0","","","","","",""
"9922.174999956042","<h2 style=""color:white;"">Now we will have you rate some pictures for how <b>positive</b>, how <b>negative</b>, and how <b>arousing</b> they make you feel.</h2> <h3 style=""color:white;"">Please press the number on top of your keybaord that corresponds to your choice.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","10","111740","0.0-1.0-9.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","112742","0.0-2.0-0.0","fixation","","","","",""
"null","","null","html-keyboard-response","12","115746","0.0-2.0-1.0","","neutral","gasCan","","",""
"3861.6899999324232","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/7011.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","50","html-keyboard-response","13","119609","0.0-2.0-2.0","pleasant","","","2","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/7011.bmp'><img class='center' src='scale/PleasantScale2.jpg'>","null","html-keyboard-response","14","121612","0.0-2.0-3.0","","","","","",""
"null","","null","html-keyboard-response","15","124613","0.0-2.0-4.0","","neutral","gasCan","","",""
"1270.974999992177","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/7011.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","16","125886","0.0-2.0-5.0","unpleasant","","","","2",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/7011.bmp'><img class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","17","127889","0.0-2.0-6.0","","","","","",""
"null","","null","html-keyboard-response","18","130891","0.0-2.0-7.0","","neutral","gasCan","","",""
