"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","condition","descriptor","trial","test_part","pleasant_rating","unpleasant_rating","arousal_rating"
"508.1800001207739","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","0","512","0.0-0.0","","","","","","",""
"225.6249999627471","<h2 style=""color:white;"">You will now see a series of pictures. </h2><h3 style=""color:white;"">Some of the pictures will be <b>positive</b>, like pictures of babies.   </h3><h3 style=""color:white;"">Some will be <b>negative</b>, like pictures of sharks or sad people. </h3><h3 style=""color:white;""> Some will be <b>neutral</b>, like pictures of a clock or desk.</h3><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","1","739","0.0-1.0-0.0","","","","","","",""
"172.28500009514391","<h2 style=""color:white;"">We want you to tell us how each picture makes you <b>feel</b>.</h2> <h3 style=""color:white;"">You will make <b>3 ratings</b> for each picture.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","2","912","0.0-1.0-1.0","","","","","","",""
"239.39999984577298","<h2 style=""color:white;"">The first rating you will be asked to make is a rating of how <b>pleasant</b> you feel when you see the photo.</h2> <h3 style=""color:white;""><b>""Pleasantness""</b>  refers to how <b>happy</b> or <b>good</b> you feel when you see each photo and how much you like looking at it.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","3","1152","0.0-1.0-2.0","","","","","","",""
"163.82499993778765","<h2 style=""color:white;""><b>Pleasantness</b></h2> <h3 style=""color:white;"">This is the <b>pleasantness scale</b> that you will use to rate how <b>positive</b> you feel when you see each picture.</h3><img class='center' style='width:453px; height:215px;' src='scale/BlankScalePleasant.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","4","1317","0.0-1.0-3.0","","","","","","",""
"150.57000005617738","<h2 style=""color:white;"">The second rating you will be asked to make is a rating of how <b>unpleasant</b> you feel when you see the photo.</h2> <h3 style=""color:white;""><b>""Unpleasantness""</b> refers to how <b>bad</b> or <b>unhappy</b> you feel when you see each photo.</h3><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","5","1469","0.0-1.0-4.0","","","","","","",""
"123.6449999269098","<h2 style=""color:white;""><b>Unpleasantness</b></h2> <h3 style=""color:white;"">This is the <b>unpleasantness scale</b> that you will use to rate how <b>negative</b> you feel when you see each picture.</h3><img class='center' style='width:451px; height:211px;' src='scale/BlankScaleUnpleasant.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","6","1594","0.0-1.0-5.0","","","","","","",""
"131.2600001692772","<h2 style=""color:white;"">You should decide how to rate each photo on the basis of how <b>pleasant</b> or <b>unpleasant</b> you feel when you see it.</h2> <h3 style=""color:white;"">There are no ""right"" or ""wrong"" answers for rating the photos.</h3> <h3 style=""color:white;"">Just go by how much you like or dislike each one.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","7","1726","0.0-1.0-6.0","","","","","","",""
"151.28000010736287","<h2 style=""color:white;"">The third rating you will be asked to make is a rating of how <b>arousing</b> or <b>exciting</b> each picture makes you feel.</h2> <h3 style=""color:white;""><b>""Arousing""</b> refers to how <b>excited</b> or <b>keyed-up</b> the photo makes you feel.<h3><h3 style=""color:white;"">Some of the pictures will be <b>highly arousing</b> and some will make you feel more <b>calm</b> or <b>sleepy</b>.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","8","1878","0.0-1.0-7.0","","","","","","",""
"260.14499994926155","<h2 style=""color:white;""><b>Arousal</b></h2> <p style=""color:white;"">This is the <b>arousal scale</b> that you will use to rate how <b>calm to excited</b> you feel when you see each picture.</p><img class='center' style='width:538px; height:222px;' src='scale/BlankScaleArousal.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","9","2140","0.0-1.0-8.0","","","","","","",""
"182.425000006333","<h2 style=""color:white;"">Now we will have you rate some pictures for how <b>positive</b>, how <b>negative</b>, and how <b>arousing</b> they make you feel.</h2> <h3 style=""color:white;"">Please press the number on top of your keybaord that corresponds to your choice.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","10","2323","0.0-1.0-9.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","3328","0.0-2.0-0.0","","","","","","",""
"null","","null","html-keyboard-response","12","6331","0.0-2.0-1.0","positive","puppies","1","","","",""
"1292.189999949187","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","13","7625","0.0-2.0-2.0","","","","pleasant","1","",""
"426.60999996587634","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","49","html-keyboard-response","14","9628","0.0-2.0-3.0","","","","","","",""
"null","","null","html-keyboard-response","15","12633","0.0-2.0-4.0","positive","puppies","1","","","",""
"291.6149999946356","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","16","12927","0.0-2.0-5.0","","","","unpleasant","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","17","14934","0.0-2.0-6.0","","","","","","",""
"null","","null","html-keyboard-response","18","17938","0.0-2.0-7.0","positive","puppies","1","","","",""
"398.30000000074506","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","49","html-keyboard-response","19","18338","0.0-2.0-8.0","","","","arousal","","","1"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/ArousalScale1.jpg'>","null","html-keyboard-response","20","20344","0.0-2.0-9.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","21349","0.0-2.0-0.1","","","","","","",""
"null","","null","html-keyboard-response","22","24354","0.0-2.0-1.1","negative","hospital","2","","","",""
"619.1849999595433","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","23","24975","0.0-2.0-2.1","","","","pleasant","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","24","26982","0.0-2.0-3.1","","","","","","",""
"null","","null","html-keyboard-response","25","29987","0.0-2.0-4.1","negative","hospital","2","","","",""
"341.42999979667366","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","26","30330","0.0-2.0-5.1","","","","unpleasant","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","27","32336","0.0-2.0-6.1","","","","","","",""
"null","","null","html-keyboard-response","28","35339","0.0-2.0-7.1","negative","hospital","2","","","",""
"373.5949997790158","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","49","html-keyboard-response","29","35715","0.0-2.0-8.1","","","","arousal","","","1"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/ArousalScale1.jpg'>","null","html-keyboard-response","30","37719","0.0-2.0-9.1","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","38724","0.0-2.0-0.2","","","","","","",""
"null","","null","html-keyboard-response","32","41728","0.0-2.0-1.2","neutral","man","3","","","",""
"434.94000006467104","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","33","42165","0.0-2.0-2.2","","","","pleasant","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","34","44171","0.0-2.0-3.2","","","","","","",""
"null","","null","html-keyboard-response","35","47177","0.0-2.0-4.2","neutral","man","3","","","",""
"395.64500004053116","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","36","47574","0.0-2.0-5.2","","","","unpleasant","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","37","49579","0.0-2.0-6.2","","","","","","",""
"null","","null","html-keyboard-response","38","52584","0.0-2.0-7.2","neutral","man","3","","","",""
"375.8600000292063","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","49","html-keyboard-response","39","52961","0.0-2.0-8.2","","","","arousal","","","1"
